----system---- --total-cpu-usage-- -dsk/total- -net/total- ---paging-- ---system--
     time     |usr sys idl wai stl| read  writ| recv  send|  in   out | int   csw 
29-09 21:49:34|  1   1  97   1   0|1509M 3755M|   0     0 |   0     0 |  16M   75M
29-09 21:49:36|  1   2  96   1   0|   0    20k|1254B  349k|   0     0 |1981  9261 
29-09 21:49:38|  2   2  96   0   0|   0     0 |4648B  756k|   0     0 |2324    10k
29-09 21:49:40|  6   3  91   0   0|   0     0 |5874B 2976k|   0     0 |5566    22k
29-09 21:49:42|  6   3  91   0   0|   0    22k|4986B 3137k|   0     0 |5178    21k
29-09 21:49:44|  7   4  88   0   0|   0     0 |5808B 3827k|   0     0 |7112    28k
29-09 21:49:46|  2   1  96   1   0|   0    18k|3191B  425k|   0     0 |2328  9993 
29-09 21:49:48|  2   2  97   0   0|   0     0 | 726B  125k|   0     0 |1636  6440 
29-09 21:49:50|  5   3  92   0   0|   0     0 |4797B 1783k|   0     0 |4164    17k
29-09 21:49:52|  7   3  89   1   0|   0    20k|5655B 2938k|   0     0 |4795    18k
29-09 21:49:54|  9   4  87   0   0|   0     0 |4455B 3443k|   0     0 |6668    24k
29-09 21:49:56|  5   3  92   1   0|   0    10k|3411B 1788k|   0     0 |3946    16k
29-09 21:49:58|  7   3  89   0   0|   0     0 |5940B 3540k|   0     0 |5046    20k
29-09 21:50:00|  7   4  90   0   0|   0     0 |5709B 3255k|   0     0 |5367    21k
29-09 21:50:02|  7   4  89   0   0|   0    10k|5067B 2969k|   0     0 |4886    20k
29-09 21:50:04|  8   4  88   0   0|   0     0 |6744B 3636k|   0     0 |5782    23k
29-09 21:50:06|  5   3  91   1   0|   0    10k|5892B 3317k|   0     0 |5316    21k
29-09 21:50:08|  6   4  91   0   0|   0    14k|5871B 2783k|   0     0 |5022    20k
29-09 21:50:10|  7   4  89   0   0|   0     0 |4443B 2675k|   0     0 |5000    20k
29-09 21:50:12|  5   4  89   2   0|   0    10k|4005B 2300k|   0     0 |5612    23k
29-09 21:50:14|  7   4  89   0   0|   0     0 |5154B 3318k|   0     0 |6354    24k
29-09 21:50:16|  7   3  89   1   0|   0    10k|5424B 3411k|   0     0 |5706    23k
29-09 21:50:18|  6   3  91   0   0|   0  2560k|4836B 2777k|   0     0 |5862    24k
29-09 21:50:20|  3   2  95   0   0|   0    21M|2376B 1277k|   0     0 |2990    12k
29-09 21:50:22|  4   3  91   2   0|   0  6454k|5193B 2589k|   0     0 |4998    20k
29-09 21:50:24|  9   3  88   0   0|   0     0 |5082B 3154k|   0     0 |5955    23k
29-09 21:50:26|  8   4  87   1   0|   0    10k|5742B 4209k|   0     0 |6524    25k
29-09 21:50:28| 10   5  85   0   0|   0     0 |9570B 7174k|   0     0 |7545    27k
29-09 21:50:30| 10   4  86   0   0|   0     0 |7920B 5994k|   0     0 |7338    27k
29-09 21:50:32|  9   4  86   1   0|   0    10k|7116B 5229k|   0     0 |7024    26k
29-09 21:50:34|  9   4  88   0   0|   0     0 |6666B 4710k|   0     0 |7291    27k
29-09 21:50:36|  6   3  89   2   0|   0    10k|4620B 3070k|   0     0 |6326    25k
29-09 21:50:38|  6   3  92   0   0|   0     0 |4764B 2999k|   0     0 |5918    23k
